experiment,condition,model,seed,base_test_mse,best_test_mse,best_alpha,improvement_pct,test_mse_a0.0,test_mse_a0.3,test_mse_a0.5,test_mse_a0.7,test_mse_a1.0
A,main,KNN(k5),51,0.8692868546843838,0.8573171662702382,0.3,1.3769549544714417,0.8558147284460872,0.8573171662702382,0.8595279343660236,0.8627060167655566,0.8692868546843838
A,main,KNN(k5),52,0.9410612605821919,0.945063945571269,0.5,-0.4253373459025301,0.9573194353119391,0.948975804897346,0.945063945571269,0.9424725350054469,0.9410612605821919
A,main,KNN(k5),53,0.873547887858141,0.873547887858141,1.0,0.0,0.8591374304262334,0.857486730615041,0.859230948379372,0.8632509135878038,0.873547887858141
A,main,KNN(k5),54,0.8968415510212244,0.8968415510212244,1.0,0.0,0.9200861388554573,0.9101804101062339,0.9049729492253007,0.9008825749725407,0.8968415510212244
A,main,KNN(k5),55,1.0244336044719713,1.0244336044719713,1.0,0.0,1.035181401210802,1.0297128982508499,1.0271358791053118,1.0254137795553175,1.0244336044719713
A,main,KNN(k5),56,0.7031485973926722,0.6976599905839279,0.5,0.780575660549771,0.7008464345160293,0.6978935620678671,0.6976599905839279,0.6988144272185239,0.7031485973926722
A,main,KNN(k5),57,0.6559765899985321,0.6386303244405267,0.3,2.64434216441234,0.6371528791276025,0.6386303244405267,0.6416008441483592,0.6461598087888986,0.6559765899985321
A,main,KNN(k5),58,1.2277325341781296,1.2104104745239497,0.3,1.4108984792665475,1.2078653940343977,1.2104104745239497,1.2137334146377308,1.2183573305814426,1.2277325341781296
A,main,KNN(k5),59,0.6349729979391964,0.637905328646221,0.7,-0.4618040005703332,0.6555242251222865,0.6461258195194571,0.6413997574260957,0.637905328646221,0.6349729979391964
A,main,KNN(k5),60,0.820364356826318,0.820364356826318,1.0,0.0,0.8734003217661043,0.8528103043470701,0.8413118298472845,0.8315959183711554,0.820364356826318
A,main,KNN(k5),61,0.7645662282207693,0.7645662282207693,1.0,0.0,0.7695044056145859,0.765187418663054,0.7636596815207882,0.7632121477055273,0.7645662282207693
A,main,KNN(k10),42,1.04049210564433,1.0470805451637617,0.0,-0.6332041813380076,1.0470805451637617,1.0428505641643429,1.0411036478521531,1.0402151883565698,1.04049210564433
A,main,KNN(k10),43,0.9306132727940444,0.9306132727940444,1.0,0.0,0.9463654485309407,0.9400771516547289,0.9366290700016079,0.9337762813599702,0.9306132727940444
A,main,KNN(k10),44,1.1125991969454259,1.1193541864874506,0.5,-0.6071359354356995,1.136895853816803,1.1250764520847123,1.1193541864874506,1.1153577893361613,1.1125991969454259
A,main,KNN(k10),45,1.1678103971114797,1.1678103971114797,1.0,0.0,1.1778705681732966,1.171842386231409,1.1692569938050756,1.1678183178066819,1.1678103971114797
A,main,KNN(k10),46,1.196223307581545,1.196223307581545,1.0,0.0,1.1936849963570462,1.1898580321671681,1.1894917024964051,1.1908733566569676,1.196223307581545
A,main,KNN(k10),47,0.6773716946915045,0.6773716946915045,1.0,0.0,0.7062899154402059,0.6953057008592659,0.6890822951178436,0.6837384125597852,0.6773716946915045
A,main,KNN(k10),48,1.238720554539978,1.2655595339329693,0.0,-2.1666694150367474,1.2655595339329693,1.2544325533997847,1.2484789886230365,1.2436969616425877,1.238720554539978
A,main,KNN(k10),49,1.2560323234083852,1.2560323234083852,1.0,0.0,1.3795680906686125,1.3365750550208944,1.3107379386222482,1.287160748116803,1.2560323234083852
A,main,KNN(k10),50,1.2481928875073613,1.2481928875073613,1.0,0.0,1.2523194996856692,1.249460357796734,1.2483262433162263,1.2478097129254107,1.2481928875073613
A,main,KNN(k10),51,1.1895321612787986,1.1895321612787986,1.0,0.0,1.196764270471035,1.193095705203592,1.191363772410902,1.190202861526697,1.1895321612787986
A,main,KNN(k10),52,1.0851792466398669,1.0851792466398669,1.0,0.0,1.1137265545776736,1.102947425797554,1.0968160715626063,1.091528502622431,1.0851792466398669
A,main,KNN(k10),53,1.0337471319869542,1.0337471319869542,1.0,0.0,1.019660430590471,1.0208514695136977,1.0230907199842856,1.0264861500722904,1.0337471319869542
A,main,KNN(k10),54,1.102408115732302,1.102408115732302,1.0,0.0,1.1550023278891486,1.1372591609462837,1.1263660512204734,1.1162214760835445,1.102408115732302
A,main,KNN(k10),55,1.209607333110416,1.209607333110416,1.0,0.0,1.235667847751351,1.2266115866173106,1.2211636538335497,1.2161873807609362,1.209607333110416
A,main,KNN(k10),56,0.8484861743737335,0.8484861743737335,1.0,0.0,0.848710867135088,0.8465740481531345,0.8461349360478069,0.8464841710485925,0.8484861743737335
A,main,KNN(k10),57,0.774378741497714,0.7677831191785576,0.0,0.8517308089320679,0.7677831191785576,0.7672832274195437,0.7681302417015154,0.769921476347206,0.774378741497714
A,main,KNN(k10),58,1.497013224387524,1.490759399731096,0.3,0.4177534676747253,1.4912467496711252,1.490759399731096,1.4914903532734327,1.4930659896176552,1.497013224387524
A,main,KNN(k10),59,0.7690933493159475,0.7690933493159475,1.0,0.0,0.7986215372843305,0.7876309678971003,0.7813192135421441,0.7758196927097467,0.7690933493159475
A,main,KNN(k10),60,0.9063226600921369,0.9063226600921369,1.0,0.0,0.9573945619939372,0.9389671687459513,0.9281612030936968,0.918538407985231,0.9063226600921369
A,main,KNN(k10),61,0.841827443392907,0.841827443392907,1.0,0.0,0.8531658324612743,0.8480856552761711,0.8454982326120987,0.8435502996488242,0.841827443392907
